lambda (nm), E(eV), Qext
744.,1.6676077943548389,0.031678152496240515
745.,1.6653693946308725,0.03148256327100595
746.,1.6631369959785525,0.03128922152092204
747.,1.6609105742971888,0.03109808051610602
748.,1.6586901056149732,0.03090909452093914
749.,1.6564755660881174,0.030722218770632644
750.,1.654266932,0.03053740944842506
751.,1.6520641797603197,0.03035462366339305
752.,1.6498672859042554,0.030173819428855914
753.,1.6476762270916334,0.02999495564135705
754.,1.6454909801061008,0.02981799206020419
755.,1.6433115218543046,0.029642889287553396
756.,1.6411378293650793,0.029469608749017696
757.,1.6389698797886394,0.02929635359996857
758.,1.6368076503957785,0.029122927565923006
759.,1.6346511185770751,0.028951247797342344
760.,1.6325002618421052,0.02878128482853814
761.,1.6303550578186596,0.02861300974618873
762.,1.6282154842519685,0.028446394177699258
763.,1.626081519003932,0.028281410279837264
764.,1.6239531400523564,0.02811803072763515
765.,1.621830325490196,0.027956228703552997
766.,1.6197130535248043,0.02779597788689441
767.,1.6176013024771838,0.02763725244346941
768.,1.61549505078125,0.027480027015498492
769.,1.6133942769830951,0.027324276711749744
770.,1.6112989597402598,0.027169977097905335
771.,1.6092090778210117,0.027017104187150042
772.,1.607124610103627,0.02686563443097641
773.,1.6050455355756794,0.026715544710201454
774.,1.6029718333333334,0.026566812326188946
775.,1.6009034825806452,0.026419414992272617
776.,1.598840462628866,0.026273330825374325
777.,1.5967827528957528,0.0261285383378139
778.,1.5947303329048843,0.025985016429303565
779.,1.5926831822849805,0.025842744379124604
780.,1.590641280769231,0.025701701838479925
781.,1.5886046081946223,0.025561868823019175
782.,1.586573144501279,0.025423225705531526
783.,1.584546869731801,0.025285753208802584
784.,1.582525764030612,0.02514943239863045
785.,1.580509807643312,0.025014244676998122
786.,1.5784989809160306,0.024880171775396934
787.,1.5764932642947904,0.024747195748299207
788.,1.574492638324873,0.024615298966774203
789.,1.5724970836501901,0.024484464112246536
790.,1.5705065810126584,0.024354674170390216
791.,1.5685211112515807,0.024225912425158612
792.,1.5665406553030305,0.024098162452944088
793.,1.5645651941992433,0.023971408116866398
794.,1.5625947090680101,0.023845633561184392
795.,1.5606291811320754,0.023720823205830986
796.,1.5586685917085428,0.02359696174106503
797.,1.556712922208281,0.02347403412224062
798.,1.5547621541353382,0.02335202556468813
799.,1.552816269086358,0.02323092153870733
800.,1.55087524875,0.02311070776466568
801.,1.548939074906367,0.022991370208204378
802.,1.5470077294264337,0.022872895075545584
803.,1.5450811942714822,0.022755268808900015
804.,1.5431594514925373,0.022638478081972894
805.,1.541242483229814,0.022522509795564853
806.,1.5393302717121589,0.022407351073266864
807.,1.5374227992565057,0.02229298925724577
808.,1.5355200482673268,0.02217941190411845
809.,1.533622001236094,0.022066606780913985
810.,1.5317286407407409,0.02195456186111963
811.,1.5298399494451294,0.021843265320810212
812.,1.5279559100985223,0.021732705534858697
813.,1.5260765055350554,0.021622871073225216
814.,1.5242017186732189,0.021513750697323714
815.,1.5223315325153377,0.021405333356464648
816.,1.5204659301470589,0.021297608184370327
817.,1.518604894736842,0.021190564495763106
818.,1.5167484095354522,0.02108419178302405
819.,1.514896457875458,0.020978479712920176
820.,1.5130490231707319,0.02087341812339859
821.,1.5112060889159562,0.020768997020447013
822.,1.5093676386861314,0.020662089752154035
823.,1.5075336561360875,0.0205499292455027
824.,1.5057041249999998,0.020438482429450316
825.,1.503879029090909,0.020327750218382377
826.,1.5020583523002422,0.020217733418935638
827.,1.5002420785973398,0.020108432732891333
828.,1.4984301920289855,0.019999848760003516
829.,1.4966226767189386,0.019891982000767413
830.,1.4948195168674698,0.019784832859125696
831.,1.4930206967509025,0.01967840164511601
832.,1.491226200721154,0.019572688577460102
833.,1.489436013205282,0.019467693786096568
834.,1.487650118705036,0.01936341731465668
835.,1.4858685017964073,0.019259859122886882
836.,1.4840911471291867,0.019157019089017138
837.,1.4823180394265232,0.019054897012076806
838.,1.480549163484487,0.018953492614159635
839.,1.4787845041716328,0.01885280554263819
840.,1.4770240464285715,0.018752835372329402
841.,1.4752677752675385,0.01865358160761187
842.,1.4735156757719714,0.018555043684495755
843.,1.4717677330960854,0.018457220972646793
844.,1.4700239324644553,0.01836011277736543
845.,1.4682842591715977,0.01826371834152047
846.,1.4665486985815603,0.018168036847440953
847.,1.464817236127509,0.018073067418764674
848.,1.4630898573113207,0.017978809122244723
849.,1.46136654770318,0.017885260969516936
850.,1.4596472929411763,0.017792421918825792
851.,1.4579320787309047,0.017700290876711915
852.,1.4562208908450707,0.017608866699662076
853.,1.454513715123095,0.01751814819572068
854.,1.452810537470726,0.017428134126065694
855.,1.451111343859649,0.017338823206547224
856.,1.4494161203271028,0.017250214109193456
857.,1.447724852975496,0.0171623054636791
858.,1.446037527972028,0.017075095858763385
859.,1.444354131548312,0.016988583843692638
860.,1.44267465,0.016902767929571464
861.,1.4409990696864112,0.016817646590703623
862.,1.4393273770301624,0.016733218265899626
863.,1.437659558516802,0.016649481359755792
864.,1.4359956006944443,0.016566434243903444
865.,1.4343354901734104,0.016484075258228325
866.,1.4326792136258661,0.016402402712063002
867.,1.4310267577854672,0.016321414885349838
868.,1.4293781094470046,0.01624111002977838
869.,1.427733255466053,0.016161486369894555
870.,1.4260921827586208,0.01608254210418546
871.,1.4244548783008038,0.016004275406137223
872.,1.4228213291284404,0.015926684425268605
873.,1.42119152233677,0.015849767288140245
874.,1.4195654450800914,0.015773522099339576
875.,1.4179430845714287,0.015697946942442583
876.,1.4163244280821916,0.015623039880952315
877.,1.4147094629418473,0.01554879895921626
878.,1.4130981765375854,0.015475222203319183
879.,1.4114905563139932,0.015402307621957326
880.,1.409886589772727,0.01533005320728973
881.,1.4082862644721907,0.015258456935769752
882.,1.406689568027211,0.015187516768956192
883.,1.4050964881087202,0.015117230654304663
884.,1.4035070124434392,0.015047596525939575
885.,1.4019211288135593,0.014978612305408152
886.,1.4003388250564335,0.014910275902414548
887.,1.3987600890642615,0.014842585215536887
888.,1.3971849087837838,0.014775538132926272
889.,1.395613272215973,0.014709132532988707
890.,1.3940451674157306,0.014643366285049295
891.,1.3924805824915827,0.014578237250001465
892.,1.3909195056053811,0.01451374328093846
893.,1.3893619249720044,0.014453428704908218
894.,1.3878078288590603,0.01439882439963946
895.,1.386257205586592,0.014344806510515727
896.,1.3847100435267856,0.014291365454657283
897.,1.383166331103679,0.01423849179531945
898.,1.3816260567928729,0.01418617623930142
899.,1.3800892091212458,0.014134409634410044
900.,1.3785557766666665,0.014083182966977326
901.,1.3770257480577137,0.014032487359430565
902.,1.3754991119733926,0.013982314067912102
903.,1.373975857142857,0.013932654479950648
904.,1.3724559723451326,0.013883500112179483
905.,1.37093944640884,0.013834842608103476
906.,1.3694262682119207,0.013786673735911222
907.,1.3679164266813673,0.013738985386334154
908.,1.3664099107929517,0.0136917695705474
909.,1.364906709570957,0.013645018418116661
910.,1.3634068120879121,0.013598724174984875
911.,1.361910207464325,0.013552879201501682
912.,1.360416884868421,0.013507475970492091
913.,1.3589268335158817,0.013462507065365649
914.,1.3574400426695843,0.013417965178262615
915.,1.3559565016393442,0.013373843108239391
916.,1.3544761997816595,0.013330133759488494
917.,1.352999126499455,0.013286830139596952
918.,1.3515252712418302,0.013243925357837454
919.,1.3500546235038084,0.013201412623495298
920.,1.348587172826087,0.013159285244228158
921.,1.3471229087947882,0.013117536624458434
922.,1.3456618210412148,0.013076160263798299
923.,1.3442038992416034,0.013035149755505265
924.,1.3427491331168833,0.01299449878496875
925.,1.3412975124324324,0.012954201128226418
926.,1.3398490269978403,0.012914250650509648
927.,1.3384036666666665,0.012874641304817786
928.,1.3369614213362069,0.012835367130520445
929.,1.3355222809472551,0.012796422251986348
930.,1.334086235483871,0.01275780087723971
931.,1.3326532749731472,0.012719497296642743
